stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops
Guru Ravi Das Ashram / Tughlaqabad Extension,28.519567,77.2543,27,27,0.0020191822311963654,0.00477940336832058,0.0004777525958086753,"Guru Ravidass Marg (21 m), Guru Ravi Das Ashram / Tughlaqabad Extension (22 m), Guru Rabidas M (29 m), Jamia Hamdard Library (277 m), Jamia Hamdard Library (277 m)"
Tara Apartment,28.524111,77.25596,28,28,0.002271580010095911,0.0019226575489421451,0.0004478663038874629,"Tara Apartment (24 m), Tara Apartments Terminal (79 m), Tara Apartments Terminal (93 m), DDA Flats Kalkaji (165 m), Tara Apartment (181 m)"
DDA Flats Kalka Ji,28.527958,77.257446,17,17,0.0027763755678950025,0.0007556124202915883,0.0003219282950494845,"DDA Flats KalkaJi (54 m), DDA Flats Kalkaji (134 m), DDA Flats Kalkaji (176 m), DDA Market Kalkaji (247 m), DDA Flats Kalkaji (290 m)"
DDA Flats Kalka Ji,28.531872,77.258961,17,17,0.0027763755678950025,0.0007556124202915883,0.0003219282950494845,"DDA Flats Kalkaji (23 m), Govindpuri Extn Gali No. 16 (130 m), DDA Market kalka Ji (135 m), Govindpuri Ext Gali No 16 (201 m), DDA Market Kalkaji (214 m)"
Govindpuri Ext Gali No 16,28.533575,77.259665,10,10,0.001514386673397274,0.0003321545581472946,0.0002373009305293224,"Govindpuri Extn Gali No. 16 (75 m), Ram Puri Gali No 13 (125 m), Rampuri Gali No 13 (146 m), Rampuri Gali No-13 (175 m), DDA Flats Kalkaji (192 m)"
Rampuri Gali No 13,28.534824,77.26013,8,8,0.0010095911155981827,2.2513693056500362e-05,0.00014969752365849242,"Ram Puri Gali No 13 (26 m), Rampuri Gali No-13 (96 m), Govindpuri Ext Gali No 16 (146 m), Govindpuri Extn Gali No. 16 (219 m), Govindpuri Gali No 5 (325 m)"
Govindpuri Gali No 5,28.537641,77.261185,12,12,0.0020191822311963654,0.0009144704020865084,0.00032765297170380303,"Govindpuri Gali No 5 (18 m), Ram Puri / Govind Puri (115 m), Govind Puri (131 m), Govind Puri (221 m), Acharya Narendra Dev College Govindpuri (220 m)"
L Block Gurudwara Kalkaji,28.54004,77.258381,2,2,0.000757193336698637,2.5554131445209046e-05,0.0001244922225850738,"Desh Bandhu College (278 m), Db C Kalkaji (282 m), Db C Kalkaji (288 m), Desh Bandhu Apartments (313 m), Desh Bandhu College (299 m)"
Desh Bandhu College,28.541258,77.255656,4,4,0.0012619888944977284,0.0005889109414752576,0.0002994906457332789,"Db C Kalkaji (12 m), Db C Kalkaji (20 m), Desh Bandhu College (26 m), Desh Bandhu Gupta College (303 m), L Block Gurudwara Kalkaji (299 m)"
Kalkaji BBlock,28.5435,77.2515,6,6,0.0012619888944977284,2.8102966013225422e-05,0.00019040920910383386,"Kalkaji B Block (22 m), b block kalka ji (155 m), Nehru Place Crossing / Paras Cinema (222 m), South Park Appartments CR Park (352 m), South Park Appartments CR Park (372 m)"
Nehru Place,28.54755,77.249444,66,66,0.0035335689045936395,0.002323514072762431,0.000640828281699949,"Nehru Place (119 m), Nehru Place Crossing / Paras Cinema (270 m), Paras Cinema (306 m), Paras Cinema (321 m), Kalkaji B Block (471 m)"
Sant Nagar,28.552367,77.246167,56,56,0.0012619888944977284,0.0019982692354706725,0.000294440883525823,"Sant Nagar (17 m), Kailash Colony (373 m), East of Kailash (393 m), Nehru Place (512 m), Nehru Place (623 m)"
Kailash Colony,28.5561,77.2411,56,56,0.0010095911155981827,0.0021833011507819086,0.00020609093793308127,"jamrood pur (257 m), East of Kailash (254 m), Kailash Colony (273 m), Lady Shri Ram College (491 m), Lady Shri Ram College (493 m)"
Lady Shri Ram College,28.5588,77.2371,54,54,0.0012619888944977284,0.0015714164493711214,0.00025799730204390057,"Lady Shri Ram College (30 m), jamrood pur (251 m), Central School (KV) (360 m), Central School (KV) (366 m), Central School (374 m)"
Central School (KV),28.5597,77.2335,39,39,0.002523977788995457,0.0013493559369289379,0.00036299371317530206,"Central School (KV) (15 m), Central School (16 m), Central School (MCKR) (273 m), Central School (MCKR) (273 m), Central School (MCKR) (342 m)"
Central School (MCKR),28.5616644735657,77.231819973397,54,54,0.003028773346794548,0.00853249527609961,0.0003750768901874404,"Central School (MCKR) (0 m), Central School (MCKR) (153 m), Central School (MCKR) (153 m), Central School (259 m), Central School (KV) (270 m)"
MCKR Hospital,28.569135,77.235154,40,40,0.001514386673397274,0.0007499980531357587,0.0002400105235711634,"MCKR Hospital (10 m), MCKR Hospital (33 m), moolchand hospital (397 m), Moolchand Hospital (449 m), Defence Colony (480 m)"
Defence Colony,28.573,77.237367,44,44,0.0027763755678950025,0.0027874411833472383,0.0003919655973066935,"Defence Colony (Lajpat Nagar Mtr Stn) (47 m), MCKR Hospital (467 m), MCKR Hospital (473 m), MCKR Hospital (480 m), lajpat nagar double story (778 m)"
Pant Nagar,28.583917,77.240533,42,42,0.001514386673397274,0.0012055296696625029,0.0002524825237408794,"Pant Nagar (38 m), Pant Nagar (48 m), CGO Complex (251 m), CGO Complex (346 m), Lodhi Hotel (824 m)"
